"uuid","final_delta"
"56d21cdb-ad5e-443b-a9de-7c983264c808","2"
"a09d8a8a-205c-4d00-b2e1-85b1a60d88dc","1"
"06833114-6193-4de3-b147-eb7a820e70dc","2"
"b14ccc76-3f30-4d5b-ab10-f11e753b6984","2"
"2c252f87-6cc4-45b1-9407-cf988ca51d00","1"
"318c198e-253b-4dee-8d98-f79e190692e7","2"
"869bd597-64aa-4e2c-a5b0-58e1a021097f","1"
"8bb87b0c-bd1f-4165-b2ae-5ec1c0d944b1","1"
"3a9d000a-da1f-46af-b83b-4b44a05319ba","1"
"80be5006-f018-4848-a98a-a878399ee50a","1"
"b41f601f-9aea-4da1-866d-90c6df6270c4","1"
"f2a3d039-de43-4bd4-b4e3-d81c4ec389b3","2"
"4dc874d2-9589-46c6-9eed-68ffdfd2d034","1"
"df89848f-de33-4025-bdc5-a40aae2ecb6d","2"
"80cc48df-d567-41b1-bed7-63bced2d60d8","0"
"a85513f4-333c-47c2-85a5-53fdf80804ee","1"
"c9e0a567-1bb0-47e3-8e96-9b3dc9a97d28","1"
"0a3012c7-405a-402f-a78b-8b4968d6378c","1"
"9fbf7df8-3bda-4efc-9746-b8689d8d1df3","0"
"d5216bd9-d017-4f0f-ba4a-6ba54f82743f","1"
"25b0efe3-6ca6-4b41-bec4-b2a682287637","1"
"97ae4204-d627-4d92-b953-6066e6e0f413","2"
"5e3b64cb-5ff1-4dc2-a7fb-5b9320db624c","2"
"48677d5f-9abb-40da-9237-0352ea7ae4b5","2"
"cac26c2f-eaeb-40b6-9b7f-bfae38118b42","0"
"a62a3f28-e0de-4ec6-ad4f-50b72fe98229","1"
"0c6c64f6-ec5d-438b-854a-336aa8d508b2","1"
"3dee4179-3014-4cac-8a53-d04bb05d831a","0"
"74360c03-9f41-4a42-b84f-14cb16c7c544","1"
"456e669e-9083-4dac-b622-23ee662def36","1"
"9bdf7b11-ea42-4984-a502-e4c5adb34835","2"
"bcf5c30b-d32d-48a6-ab3b-1d30e87cb112","1"
"07c4405f-f132-4c0b-8d2f-c2bdefe104f3","0"
"68b91886-2391-4f4f-8d14-73095e242848","1"
"09277881-749f-44f2-9eaa-8eb9aa6b1da7","1"
"7821c6fb-9738-4e80-a893-e95958c0c3b9","2"
"44d39659-bf00-4c8d-90d5-bcee83183ae0","3"
"5aebd1d9-39ce-479f-ab93-b1ab1c668eec","2"
"77c0991b-19fe-45be-9c1c-e5672468eba4","1"
"d2547ba0-a619-4bb3-ac9f-39966ee5c5e6","2"
"7fc149aa-e487-4fae-9f27-581c6b948ca3","1"
"2b58c4e0-cc74-4946-ae6d-654c438608e7","1"
"0428e32c-6b66-438f-86b5-9e4ea0db1663","2"
"d467d81b-0908-48ad-8e7d-c5aac66cb629","2"
"09f4a20e-0b4d-4f4d-9046-15edc11aeee1","2"
"75a0fe7f-98be-4e3f-b7d8-8d3ce3f26e05","1"
"8203beff-3489-461a-a90e-64d214d03678","0"
"36c9aaaf-6059-4d2a-8927-21f0766ac383","1"
"bdb264f9-c51c-4b91-b70b-71944f41b276","0"
"6aa5c6cd-7e7f-48bc-981b-96a867656cc2","2"
"0a02c3fb-a3da-40c9-b85f-71804a5db46f","1"
"13d82b88-0377-45bd-be36-ff060f5a44b8","1"
"76e4b3b7-b011-4aaa-8c43-377dac0ed929","2"
"c9c264f5-8fec-401f-acc2-215e58c134a2","3"
"827497e0-70bd-4780-97dc-6d29f36e76d9","2"
"f5549490-ddde-4faa-9b37-1c7104591d68","1"
"27e4ee31-7b0d-489e-93a8-182506a47865","2"
"1c5a683f-033a-44fd-aa79-cebb7a930a49","2"
"580168c0-4ea7-49fb-830d-32ad3b015850","1"
"132ef9c0-b1e8-43c3-8203-fa9308df728c","1"
"ccd9b71c-2deb-491f-a255-86488137ca95","2"
"92f48e77-7a74-4114-b96e-53881dc3a4c1","2"
"371a3ed2-29e2-4eee-9c97-fb174f07da9b","2"
"b518dfee-6462-4e92-a0db-a78b1a626945","2"
"6ebd6c77-3c19-47ca-8888-88c4ef09ca2a","2"
"c0b81089-5209-408c-9772-30f4d943ba3c","1"
"9325aab5-0040-4de6-ba12-201a6088721a","2"
"967f92bd-fc54-4ad1-ba08-46ad86915de6","1"
"e32665b4-1292-48f7-8d87-2e85bf3ccf43","1"
"8c57bdaa-7e5e-4029-ac90-78e566d6d3eb","1"
"0a151205-04d1-41b8-8c67-a273ea7a71bf","2"
"460af6fe-b998-4ef3-a4dc-f5cd2a336f6c","1"
"05a587ad-1d6e-4458-8ee6-94f45845e316","1"
"28f0b03a-5edc-47e0-b3d6-fa03be9d4f6d","0"
"ca6de0a9-02b6-48b1-ba8a-b1d859e9aca7","1"
"fffd5b40-800f-400f-8dfa-bdd388139cbd","2"
"20d18e2d-182a-4a48-9512-ce7c1c7401cc","1"
"fd8fea23-3772-4143-83bb-3caf53154ff9","3"
"1dbe4554-6b4b-457c-a341-d4895025c677","2"
"c3015c94-e7a5-4fa0-a3ea-5d962e7b3847","1"
"7640fb1b-441b-4db1-aba7-6e4c222fd465","1"
"8e226492-0ca1-4e0c-bfde-10693e6d14a1","2"
"68095539-a5ee-49a5-ad09-9d24bedaa909","2"
"570c08fd-1f93-4e43-8dc9-9437a99e9126","2"
"a0f51045-cf66-4db9-a1dd-7314fa2ec60c","1"
"fa537a83-2ab8-44b8-b530-e3ba9aa6b45a","1"
"48b8a467-e3e1-4388-866f-3aabe8e8ab0a","2"
"eb2ef64d-32ff-4a97-a01e-ec68c85aec0e","2"
"6ed735e9-7a3a-4cd4-a97f-346d8baa8cef","2"
"6264b332-13d9-45cd-86ca-625ee99adcea","2"
"d77f8694-89eb-4516-a171-74fc2e668c76","2"
"66a90f1d-25b2-4310-8aec-328d01e790c2","2"
"1ff698f1-0574-4842-8fc1-138c1e080963","2"
"4ad985a1-1651-4ea9-ae65-b1ad127a1d94","1"
"ae3ab67e-321b-458f-acdb-f295844fc619","2"
"40e6e5dd-b931-4394-979d-5d400fdeb0cf","2"
"820ecb06-6e5b-4f72-b97a-26f51eeabd22","2"
"ce36a1dc-c3b9-484c-adce-66351e49b9a9","1"
"5d8ec08e-5f06-457a-88d2-7fea0994961f","2"
"b030808b-3a78-4d8e-bbda-2e7caa7a01b6","2"
"71707b03-41c2-47a9-a761-2a276694eece","1"
"90de38e8-9563-4f79-ad5f-4c86119f4e0d","1"
"2ec5b538-cc44-4134-a56a-df23c8dd0f56","1"
"0289eed7-4793-425a-b7c5-b3a714455336","1"
"ddaa70d4-3619-481c-a9a4-f9b569c94b47","2"
"268ca1db-2dc2-4a08-b742-b846e1147a95","1"
"57af07a2-6101-4607-bef3-8fa7a4b4b878","2"
"883173ff-bb7b-4692-84fc-20be0ad03fb5","2"
"1a5650aa-343c-4fd2-958e-ba8b8b485f33","2"
"91c9d784-914a-4551-8d62-33d8bd53fb92","2"
"d43f4ef7-a6b5-414f-b9a3-63de3b1fae9c","0"
"9199fe7f-70f8-4711-92ae-53593045dd2b","2"
"6f826445-4327-43fb-9744-401e8d17ff62","2"
"71b6d500-6cfa-4658-b501-34fedb8197ba","2"
"a15c0983-6522-4fa7-91fa-c1ea91a2fb2c","1"
"a2883440-b92c-45e1-8a16-44d0193d887a","3"
"2a52f140-ec6b-42b7-ac52-69191bd23ba6","1"
"0fc85085-7529-4cfc-936c-016e6bc4eedb","2"
"4015c4c8-748f-4649-94e5-1349f740f971","1"
"a6afee1f-09be-4174-9b92-2827a4359a8f","1"
"4bc88384-4cd9-4406-ba46-a761edf20c84","1"
"7f7ffaaf-a14b-478d-9ce4-0a0cff1fe9de","1"
"2496409e-760b-4fae-a7af-42b99923faf5","1"
"08276604-c8d6-4924-a41c-959b3456f46a","2"
"61e93455-ddc5-4499-89f8-eba6d9ac6242","1"
"02c4b4ad-e10c-4042-8385-55235fad8a7c","2"
"875446cd-1e54-47a7-95e0-d2e02c472144","2"
"dc2c14b3-8b2d-4729-b24e-a7c73e0a523c","1"
"360a3733-c372-4b7a-b642-9475582d6dc9","1"
"1f14312b-1ab1-4d95-b91b-3c08079c02ad","1"
"f503c2c3-2807-4d8b-b77e-e1da14599a67","1"
"8e99730a-efcb-4da9-b38a-4e5be7b47b0d","1"
"3774ff6c-d1a8-4486-a5dd-a7687e710929","2"
"e9317415-d861-4c11-a832-02286912229e","1"
"8650923f-3760-4411-a5f5-fe96a7c04fc0","3"
"ab7b2247-4d33-4c9c-9f45-28ee3eff70e4","1"
"aa15212c-87e5-4249-9ff5-11ac089c92dd","2"
"2cc12f88-ad81-48a2-9489-2a59ab99f761","2"
"2530fd91-046d-4399-add8-92084f251c30","2"
"48e20b3b-5bc9-4532-9efc-d4a60564d456","2"
"96acc68a-7e42-43ae-a770-66222428c71e","1"
"5353e43f-0ccf-495a-8815-b77aa1b660ce","1"
"fd22b6c1-e1f0-4462-a165-fb47fda1dd76","1"
"dc83ab97-f8c5-4505-8a21-f648c85c656c","0"
"85eaa72e-989e-4595-8a2a-6b4e59395127","1"
"b0e9a1d1-afb6-4f0c-bef1-fba587b17a57","1"
"35de4ea2-bc27-47e1-b995-d6c4bce3360a","2"
"ee10a12d-7fd3-49b4-85e3-b297946a9b25","1"
"d4cb3720-bf66-4ac4-98f1-56ccd2629e14","2"
"eb798140-4932-4750-ad53-fabffaab5ee9","1"
"2e3ebb50-230e-4c86-920a-3a62930d1614","2"
"36bff398-c007-4da8-83e2-fc5e364a23bf","2"
"477e80d7-2353-4de9-8786-e277a4979b64","0"
"066e06a7-c08d-4628-9bd1-9ea4bd5964c6","1"
"0fe2ed4e-774f-4a8a-be50-62e0625124d7","2"
"d2b75f58-d70d-413f-bad6-2fb4a209dc72","2"
"e8297e3f-7952-4074-b4db-24ae9f2f88c3","2"
"2691c0ab-2b1e-4c2d-bc45-12fafbdd0001","1"
"8e41a01a-a833-40af-9ad3-edb1e0888134","1"
"81e7c794-a089-4e92-ad6e-4eea0d0ca064","1"
"01c3b87e-daa5-42ff-92aa-9cdf3325129c","2"
"6cc3127b-58ac-4289-98e6-3b3a758cde2d","1"
"56cfcc38-f039-4849-8480-8f9e965d01cc","0"
"dac95902-e0ac-499b-b6ce-7bb3ff64eb7b","2"
"c4c6cce9-3a0f-4b50-b804-639516fb0496","1"
"67fbe19d-3802-4da1-b281-acfb5a4fee9f","2"
"6fbba8fe-7dab-47d8-b949-e9d5572fbe8b","1"
"c62ae721-0f04-40d2-af37-8cdc71a3465e","1"
"ff77cdb3-c4d0-42dc-af5b-abf2db85c340","1"
"0f6227b0-e0ae-49dc-a6d3-f329f824eaa8","2"
"de1d4392-3312-4613-9ea0-48ec76e6f7f0","2"
"c4dde62e-74f2-4467-aaa1-204bbc5aa332","1"
"2a819a19-2224-408b-9fb7-955a6048efe9","1"
"a1da5385-a611-4966-8677-b65c57513107","1"
"d989a8b7-4336-475e-b231-0749a291936e","1"
"2195fb1a-1f92-4c5f-8273-0afd418c1cbf","2"
"1218ebd0-50fe-410d-9f67-b548358137b6","0"
"38c09dd3-e59f-4da9-8488-605b5f3a005a","1"
"6a1fdadc-86af-41fb-8274-e1c71b5692e5","2"
"0bd11471-0f01-4985-85c8-45e19936e700","1"
"f09bafe3-c793-4b77-9429-b75926654a01","1"
"5b9d10f9-e1dd-430c-b904-8a88b7bb9fb3","1"
"79f37e3b-d892-4d1f-83a1-afb18dc905fc","1"
"963d8344-a003-45e9-bae6-6d03dda0b3b4","2"
"75ad33e9-74f3-4f3a-a50f-40b5d648a2e2","1"
"3e0152bc-e06f-491a-8236-c46f8c7ef93c","1"
"e9cdbe73-6bce-4322-b03b-7498ac794290","2"
"6593294e-9ba1-4c23-83b2-8764f765d37d","2"
"891a3664-070b-4762-9250-f96b7dfe6016","1"
"4e58ccc6-4ec4-439f-8167-9952dcf9b6ec","1"
"316cd479-d14f-4f37-a987-37c13b242c3a","1"
"55106ae8-99c4-4a23-aad3-275e2398e451","1"
"54111b09-a007-4ddb-b736-e10cd66bd417","1"
"426f429a-efbb-41aa-a90a-3551471515eb","0"
"509158de-4020-4a5c-bf15-78663995c48d","2"
"02b825f9-5dba-4b42-accf-09e9712ebd76","1"
"37980a17-01b6-4933-9ce2-163a003f3bad","0"
"9e8abf0c-0514-4240-a7a7-b28d8b61ec7b","1"
"7046e4d0-3627-4a09-b1ee-d8d116b33aeb","2"
"02666fa2-99a0-4e4c-ac98-1f1f69017ff3","1"
"110e20eb-9460-47e5-a1ce-ac963f6873c1","3"
"0b37a0b5-eb92-45cf-9fc1-c8f576f556d4","1"
"ab5dd9aa-9a33-42f0-bfdb-06776eb6f4af","2"
"d7fcfb9d-25e6-434a-a845-5e2f722ab1c3","1"
"11703883-7b29-4083-a3d5-398c02606280","2"
"6cfa085c-0782-41eb-8e13-dfdf8c7567a9","3"
"96ddb979-698e-4065-bf1a-f989ab117439","1"
"897f6525-8d40-49a4-8cca-5815ef1e89c9","2"
"a2bc283b-81d7-4123-b157-a905d33b7b2d","1"
"a63ac8bc-42f0-4581-bdd4-26149e3aeba7","1"
"7284fc28-e933-45e8-9eaa-3a395267ffe6","3"
"a2ef01e0-9e1d-4503-8d4c-8e31f8c26d07","2"
"388a61f9-052f-43bc-9ada-5c69519b26c8","1"
"2afa5634-c11b-448c-bd2c-6d695bea89dc","2"
"7f2b9f70-77a1-44a1-a508-bcaaa4f0c633","2"
"87b14e74-5e2c-49c6-bc1b-185fbd8f1a48","2"
"f9d7f634-2766-4e79-b5fd-4beb77ea6678","2"
"40239a5a-b773-495e-ba67-6545c2ad5394","1"
"b7a338b1-3670-4bda-90a0-6dfcb6ddda4f","1"
"d50061c3-de46-41b2-8e79-72c0f81ece69","2"
"d21aa7b3-d6e5-462c-8838-498ad065a5d1","1"
"3c46e0e9-1d38-481a-9e9f-b7bc1d9bf947","2"
"2c79c0b5-8cfe-449b-b37a-8cc037a7b660","2"
"cec98ae6-eea7-405a-964c-bb394fff5424","2"
"f901a323-2aaa-4a90-a00e-553b9eb11ff6","2"
"18d3fbbb-3707-4527-9cce-aa745e1dc219","1"
"d3b98772-9a98-492f-8154-820e82245fd1","1"
"fe63ed50-b4bb-4563-8202-f815935ebcc9","1"
"fb4a4d35-0945-4960-bf03-9ec965e1b18e","2"
"6f04a7dc-5052-4f0e-91ea-6c88413afb5c","1"
"83450627-8ba6-4a25-9c91-43390c137ec0","1"
"2d15afaf-aa80-433d-8fcc-a72accd40336","2"
"57b70e3f-4d1f-4080-b536-35a6a21eafe0","0"
"430c1e2f-3281-4170-825f-c1a0525fe6bb","1"
"994886ce-7b16-4e81-8de8-c90546748fc6","2"
"77ef7e97-4147-4f31-acad-aa1690d617e6","2"
"d3b8e1ba-c3ae-4d2b-9115-75e0b684fb5c","1"
"b3e3c1fb-677d-422f-aa4d-9b487bb49f3d","1"
"c351f02d-e04d-4b3f-8f0b-d4792809f3c5","2"
"7f95fc0c-24e7-4c47-829a-6c11e30f45d8","0"
"79564627-6753-445d-bee8-d33abd79942d","2"
"d6b1f649-3e96-488d-951d-83315d1a7b66","2"
"ade24296-d0fe-47d5-87c6-e9d4faa0348e","1"
"d769ee1f-9a72-4d8a-a17f-60acf56900a2","1"
"64748b56-a1c1-461e-b6cb-a896270f8863","1"
"719d7180-412e-41e4-b732-e46f2ade4f21","1"
"0235009a-a2a7-4419-9cbb-a6e8b88298bf","2"
"2c7af2b8-859a-4f70-90da-c0a2a900064c","1"
"ef9414a7-c0f5-4a5f-93ab-15265f15e72a","2"
"d73797b6-0804-426c-b27d-4633cd790cba","2"
"e002db3b-3c16-456f-ba46-2f4e51b52ec4","2"
"1fc4f92f-f1c1-4a37-83fe-5e331e5eeefd","1"
"a9a9a194-0d78-49ce-a0ad-5cb3a5826c1a","2"
"1edd2342-2027-4047-a024-57518b86b99b","1"
"7d115dde-f3f3-453b-b2fd-a3fe3835200f","1"
"bb41b554-9c2c-49c6-aee5-6dd340e87d7a","1"
"2bd3d9a3-529b-419b-b022-383746c7c400","1"
"320c136c-2f31-4e51-a5fb-701593acb2a7","2"
"1683c32c-4670-48ad-95a7-99501c099f63","1"
"8fe44233-7eea-44c8-9db6-0b55ef42415c","2"
"601e073e-2845-4c81-8ec5-1a9b01471ce5","1"
"2c76f9ae-369f-4121-a23e-fd098da66a7c","1"
"039a4cad-73e5-4979-ab98-a69713520467","1"
"76b3e173-c815-41a5-8851-e78ce5def133","1"
"67154ab9-e8ee-4ff5-aad3-cb00e604e689","1"
"751d0b60-377a-46b1-972b-f3a88436ac49","0"
"c5e0e2d6-2048-4809-8938-8c25c29d4a00","3"
"94385f98-2b34-4171-a953-1a2f8fbefafa","1"
"6c8c4617-41a7-4e30-93d7-98f32bb7b86b","2"
"0fc8ed0f-146e-4847-9853-86961edc0a96","1"
"cc2110b8-fa79-47ec-a11a-f1d26edde305","2"
"16867fdb-40f1-4031-90be-cef3c175be44","1"
"1392feda-17f9-4971-a340-8691ec24e514","1"
"4e5eb4c9-c5ad-4be2-8db3-e776dad52257","1"
"5e6c9dd5-1f30-4f59-a5a6-78e681be4f8e","1"
"67a9682b-c5aa-4d73-bd99-ce07bd83e4cf","1"
"05eb7622-9ab2-4444-8a70-80d830e043a4","2"
"87d42e3d-e6b1-47cd-9df8-bb67358531d3","2"
"5f5ff57f-2691-4ef4-bdb3-61af9e5d46d1","1"
"5d9dd65c-7039-4d1b-96c9-3141bf8b6e94","2"
"87555ff1-a9be-4388-8b3f-1cc1e14ed8f7","1"
"1f8221a2-76e9-4240-a7a3-417e62591ff5","2"
"faf71914-7cb5-439e-9e9e-d767f55f30fc","1"
"6fc31ad6-b35c-4c2d-a3e9-12407efd8d92","2"
"30960ac8-f0cb-4684-aa65-c16740b8073c","1"
"ee129d49-530b-4ad5-9191-6a684ce28ada","1"
"d94ac120-b94a-4d37-94cc-9af904eb8c2b","1"
"ce300e88-8c17-4129-bc14-e7238fd4e928","2"
"c51b3294-afdf-430b-a7db-a8d002ca6789","1"
"355b51f0-8e36-43bb-a8cf-30bcdd2e014f","2"
"98ef328b-5a0b-4b36-99df-32910ea4ce6a","2"
"53cd2d26-8121-48fb-87d8-47d6f947bc8b","1"
"96e4d4d1-3636-4117-b70d-f12f9ada7be1","2"
"e24b3195-580c-493d-a8a5-580af475644f","2"
"65ba9522-8201-4989-8b0c-94a64296f06c","2"
"17ee1845-f01d-4c9a-91f6-c9fc5f61b562","1"
"6189f00f-24b0-4ecd-9086-2e53f179c207","2"
"3eb7bd32-afe1-4d68-9182-70ba5e750c53","2"
"191b74fb-890a-4ce6-9552-131ad196e9db","1"
"6847ce9a-fbbf-40a0-8fb6-25ec04b4fa9d","2"
"422e31d5-6b1a-47bf-81c7-ef87beeab31e","1"
"521016e0-0d71-4538-ba27-a4a44ba3b593","1"
"46c4e61f-1862-4cc0-9fc0-6c27d6967283","1"
"695617d0-b941-4ef6-8aac-5e4ea90ab91e","1"
"76442cf9-14fc-4cd6-b875-8b6f305d4f6e","1"
"f3f2fe6a-bcae-4877-9f10-299f4b0c52bb","1"
"7d9c5e69-2d5d-435b-802a-3c5a8e019ba0","1"
"ff3230c4-9933-4f5b-85e3-c7b114ae37dd","1"
"4c612e91-9b8f-470b-8abb-99faaa5d26ee","1"
"3c8cbdc3-644e-43cc-ae6a-e00371c1782e","2"
"27fa9b11-4180-41bc-b053-480fcc185e56","2"
"4ed796e8-e210-4f02-8ed6-82b313a04f9d","2"
"b1bbca81-9bca-4276-b8eb-907ccebd8798","1"
"a29ee121-ac82-4064-aad6-083656ae3ae7","0"
"1aa3a00f-e128-46a6-8008-cb95d63d6e73","1"
"93e5c4a9-fe1f-4415-8469-ebc865f4e985","1"
"a8e52ca3-23e8-4539-829c-7cafb60dd9fa","0"
"f4cd3aa4-5056-4b9d-a543-d51abc56f766","2"
"672d236b-5729-43a7-96a6-520a3eaaac3f","1"
"8d15615e-09dc-4960-8fff-71c95f171f44","1"
"1bd1f67f-f8e7-4033-8a6d-0e12128add52","2"
"117f03ab-c224-48b5-99c7-f84bdf4bf081","1"
"860626ca-0f50-4d86-8c9e-f2f3aa67a3ae","1"
"a901487e-c8b7-4b5e-aa2f-e6f34213fefb","2"
"2084866a-9954-4afa-96e4-a910cabc943f","1"
"5a82b509-c97a-440e-a807-89c7935576fa","1"
"341713da-b598-44d5-bf7c-3dfbe06bbfce","1"
"55b579e6-8ec8-48f3-a46a-d8446764f004","1"
"f43a8e1f-c970-4748-bcf4-9087acda0b8a","2"
"32a18567-c27a-4247-af5b-813f70e0d43b","1"
"6a25befd-4bb5-46f4-bb4a-14779dc4916a","2"
"ed665395-3150-45cc-9fb7-279294b45098","1"
"f6353aad-04dd-49ba-a6a2-2363e31d465e","2"
"18dd7852-3e9e-4ed0-9cbe-4d7df71b0cc6","1"
"b502af7c-8f8f-42b8-a7b6-5c8af2834aac","1"
"990e00d6-5244-4fb0-9bdc-dbd01cbf2da0","2"
"73bdd40f-15e9-4318-b289-738d76f4c619","1"
"41186064-17bb-4d6e-8fcb-899a1ac82e2f","0"
"a639fc79-bb07-48dd-b37e-aa282d02660d","1"
"a88abcdf-f215-4815-9841-ac431d360423","1"
"9c1e6c75-12c9-4741-a77c-d49d85145e39","1"
"2d9a27d1-a138-4bb8-9547-acf1fd3e819d","1"
"ec6ca666-1092-47e7-b034-9d24f87cb00f","1"
"017a1c4f-5f76-49c5-bbbf-48678363232d","1"
"7438168b-a62c-4d0f-8983-dd674f962bc1","3"
"c539fb03-05f8-4e6b-bfea-4eb6bf076cb0","1"
"4c73b36c-4bb9-4923-b9d8-139e311059e7","0"
"19cf17af-4dce-4c6f-b9b3-40742a329109","2"
"a56d6416-dd6e-456c-ae40-88d7ab38d53f","1"
"37806336-0a21-4287-b4c4-a48ad4d2b45b","2"
"542901eb-17d6-4adb-bfcc-10aa3801a537","0"
"ad21ebea-7bbf-4b1d-af55-12ff332d895e","1"
"b35a8a83-0968-4fdb-a9a1-80f3383e4fd4","2"
"208ca836-9ec2-428b-9760-39d875e01b84","2"
"4b1466ba-9a8e-4b9d-bd56-d395d18da787","2"
"fc925ae4-1287-4a43-a48a-302623a297da","1"
"30c01192-c08f-4477-a954-5c1d5c47b7df","2"
"7faa682d-1a7e-49df-bf8e-335e2d9f4fde","1"
"00bee9d9-4476-4139-8c2f-82e44e33a0c3","2"
"795280e9-7bc2-4bc6-9872-9638855aa9bf","2"
"59ca5d83-7977-43e5-b661-34cadd4ac8bb","2"
"18633ad2-5d6d-49d0-a6d6-a8a3765f0c71","2"
